text,Topic,Subtopic
Transfer has failed.,Funds,Funds Transfer Issues
I believe a wrong exchange rate was applied towards a cash transaction I made abroad.,Funds,Funds Exchange Issues
Have a great day & God bless!,Other,Conversation Control
please transfer 5 from savings to checking,Funds,Funds Transfer
Why has transferring money resulted in a charge?,Account,Account Info
Do all ATMs accept this card?,Other,Find ATM
I messed up a transfer and need to reverse it.,Funds,Top Up Issues
What should I do if my card is stolen?,Other,Scam
"I do not like this, I made a simple transfer but I have an additional charge for doing so.",Funds,Funds Transfer Issues
I think someone may be using my card.,Other,Scam
"It is credit, thank you",Other,Conversation Control
Can I have multiple currencies in my account?,Account,Account Issues
"I have an unknown debit charge in my statement, why?",Funds,Funds Transfer Info
My top-up funds aren't available yet.,Funds,Top Up Issues
I found my card! Can I link it back into the app?,Card,Card Activation
"I received my card, how do I get it to show in the app?",Card,Card Activation
Please help me figure out the reason for the odd withdrawal amount from my account?,Funds,Funds Wrong Debit
Is it possible to get one the your cards in the EU?,Card,Card Info
Do I get to have one of those virtual cards I've heard about?,Card,Card Order
Who do I call to activate my new card?,Card,Card Activation
Can someone please help assist me by explaining to me why my pass-code is not working?,Account,Account Issues
Where do I order additional cards?,Card,Card Order
How much does each transfer cost?,Card,Funds Pending Issues
"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",Funds,Funds Transfer Issues
how can the money machine keep my card what do i need to do?,Card,ATM Card Issues
how can i track card you sent,Card,Card Info
Can I have a card even if I am not living in the UK?,Card,Card Info
"No, it has nothing to do with cheques",Other,Unsupported Talk
how to i go about getting my virtual card,Card,Card Order
"Which cash machines will allow me to change my PIN?""",Card,Reset PIN
"I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done",Funds,Funds Transfer Issues
I just checked my account on the App and there is a payment on there that I did not make.,Funds,Funds Wrong Debit
What do I do if the machine rejects my card?,Card,ATM Card Issues
Why wont the other bank take my money?? Is it not good enough?? There's sufficient funds but I keep getting denied a standard transfer. Ive tried 5 times!,Funds,Funds Exchange
How do I verify my new card?,Card,Card Activation
Explain why my top up would be reverted.,Funds,Funds Fees Issues
How long will it be before the person I sent money to is able to see it?,Funds,Funds Pending Issues
Do you have a problem with EUR exchanges?,Funds,Funds Exchange Issues
I need to change my data.,Account,Account Info
Can I request a card?,Card,Card Order
I can't get money out of the ATM. Is my card actually working? It's the first time I tried using it,Other,ATM Issues
Could I get tracking on the card?,Card,Card Info
My account is blocked because I entered the wrong pin too many times. Help me unblock.,Account,Account Restore
How old does my daughter have to be to open an account?,Card,Card Order
"My ID verification hasn't gone through yet, but can I use my account anyway?",Account,Identity Verification
I have a duplicate payment on my card.,Funds,Funds Fees Issues
I sees some suspicious spending on my credit card that I don't recall I had made. What should I do?,Funds,Funds Transfer Cancel
How can you assist on verifying my identity?,Account,Identity Verification
Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this?,Funds,Funds Transfer Issues
Why can't I see my top up?,Funds,Top Up Info
"Why did I get charged a fee, I thought it was free?",Funds,Funds Fees
How many disposable cards am I allowed to have?,Card,Card Info
Are there limits to businesses that will accept this card?,Card,Card Info
Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here?,Funds,Funds Fees
i did n't make these purchases on my card these are fraudulent charges i need to report them,Funds,Funds Wrong Debit
There is a strange payment on my card.,Other,Scam
What on earth is up with the exchange rate! This should have been a much higher amount of cash,Funds,Funds Transaction History
Do you charge extra for exchanging currencies?,Funds,Funds Exchange Info
What currency can I use to add money?,Funds,Funds Exchange Info
Can I track when my card will be delivered?,Card,Card Delivery
When will my top up be approved?,Funds,Top Up Info
Where did my top-up go? I can't find it in my wallet,Funds,Top Up Issues
Thank you again Jasmine and have a wonderful day.,Other,Small Talk
Have you started charging for cash withdrawals? I always thought it was free until I noticed this fee. How much is the fee?,Funds,Funds Fees
Are there going to be fees from adding money with an international card?,Funds,Funds Fees
My card was eaten by the cash machine what do I do?,Card,ATM Card Issues
Why did my top up get pulled back out?,Funds,Top Up Info
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",Funds,Top Up Issues
Which merchants accept my card?,Card,Card Info
I can't get any money from my account.,Funds,Withdraw Issues
A cash withdrawal has been done that I didn't do.,Funds,Funds Wrong Debit
How and where can I find the identity checks?,Account,Identity Verification
Yes please proceed,Other,Small Talk
i 'd like to know the balance of my bank of american account,Funds,Funds Balance
My contactless stopped working today no matter where I try to use it. How do I get it to start working again?,Card,Card Info
is there a reason i need to verify top up,Funds,Top Up Info
Does it cost anything to transfer money for a top-up?,Funds,Funds Fees
A transfer is pending.,Funds,Funds Pending Issues
"My marital status has change, I got to correct my name to reflect that.",Account,Account Info Change
Hello my name is keanna,Card,Card Issues
what is my monthly spending limit because i was refused my money at an atm,Other,ATM Issues
show my transaction statement,Funds,Funds Transfer Info
What is my top-up limit?,Funds,Top Up Info
What locations allow me to withdraw money?,Other,Find ATM
What are the age limits for your service?,Card,Card Delivery
"When I went to $100, all the machine would give me was $20.",Other,ATM Issues
What countries do you operate in?,Other,Unsupported Talk
My card couldn't pay in a shop.,Card,Card Issues
Can you tell me where can change my PIN?,Account,Reset PIN
I exchanged dollarss for British pounds today and got less than I expected. Was exchange rate correct?,Funds,Funds Exchange Info
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,Funds,Funds Fees Issues
Is it possible to change my PIN?,Account,Reset PIN
Is top-up possible with Apple Pay?,Funds,Top Up Info
I need to cancel my card. There are a few charges from a couple days ago that I didn't make. Can I get credit for these charges?,Card,Card Block
report fraudulent activity on my debit card,Other,Scam
What countries have access to this service.,Funds,Funds Transfer
"The other bank confirmed a transfer I made, but this account is not reflecting it yet.",Funds,Funds Transfer
Should my top-up be completed by now?,Funds,Top Up Info
"No, I don't want to change that",Other,Small Talk
Yep. Can do,Other,Small Talk
I am having problems with a top-up.,Funds,Top Up Issues
Could I open an account for children?,Account,Account Creation
Will there be a fee if I receive a SEPA transfer,Funds,Funds Fees
"I made a transfer for my rent payment about 2 days ago, but my landlord hasn't received it yet. It shows as done on my side, and I've double check all account numbers and they are correct. Can you verify that the transaction was actually made?",Funds,Funds Pending Issues
Are there any specific cash machines that I have to go to in order to change my PIN?,Account,Reset PIN
What foreign exchange rate will I get?,Funds,Funds Exchange Info
Why is the top-up I made still pending.,Funds,Top Up Issues
Are there any charges for using a bank card to top up,Funds,Funds Fees
Is this a bot or human?,Other,Bot to Human
I've made a horrible mistake! I transferred money to the wrong account by accident! I entered one of the digits wrong. I need this cancelled immediately please.,Funds,Funds Transfer Cancel
why cannot i take any money out from my bank account,Funds,Withdraw Issues
"Hello, I have noticed a problem on my recent withdrawal at the banks atm machine. I made a transaction and upon receiving my funds from the machine, a fee was assessed to my withdrawal. Are these types of transactions free of charge?",Funds,Funds Fees
The app is showing that I received alot more money than I actually received from the ATM. This occurred earlier today.,Other,ATM Issues
Did a WD earlier at an ATM. The amount showing in the App is more than I got though.,Other,ATM Issues
i 'd like to change my pin number for my savings account,Account,Reset PIN
I am entering my passcode but getting an error.,Account,Account Issues
"It was international, is that a problem?",Other,Small Talk
My statement has a payment that I do not recall making,Funds,Funds Wrong Debit
Are there any charges for topping up a US-issued card?,Funds,Top Up Info
I payed with the card and there was an extra fee?,Funds,Funds Fees
I cannot get my virtual card to function.,Card,Card Issues
Why have I not received my PIN,Other,Unsupported Talk
"Hi, I was at a restaurant later the week and when I went to look at my account I noticed that I got charged twice. I would like to get my money back from one of those transactions.",Funds,Funds Fees Issues
can you tell me how much cash i have,Funds,Funds Balance
What is with the need to have all my ID information?,Account,Identity Verification
"Yes, my card did arrive, but sadly I have lost it again",Card,Card Issues
Can I get more cards just incase?,Other,Scam
What's the foreign exchange rate I will receive?,Funds,Funds Exchange Info
Is this open to residents of all countries?,Funds,Funds Pending Issues
i am not sure how to pay my phone bill and need assistance,Funds,Funds Transfer
Are there specific ATM's that I can draw money from?,Other,Find ATM
Can my children have an account?,Funds,Funds Transfer Issues
I found the card I thought I lost this morning. Can I reactivate this card?,Card,Card Activation
The exchange rate was different when I got cash,Funds,Funds Exchange Issues
Where is my money transfer?,Funds,Funds Transfer Issues
I want to leave,Account,Account Close
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,Funds,Funds Fees Issues
When will my money be in my account?,Account,Account Info
Hey thanks James,Other,Small Talk
I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?,Card,Card Issues
There is a payment on my card that I do not recognize. I've never seen the name on the transaction before.,Funds,Funds Wrong Debit
can you report credit card fraud for me,Other,Scam
My transfer is pending too long.,Funds,Funds Pending Issues
There's an error in regards to the exchange rate for an item I bought.,Funds,Funds Exchange Issues
Can I get a card that works in other countries like Africa and Indonesia?,Card,Card Order
When does a UK transfer show up?,Account,Account Suspend
Is there any fees associated with receiving money with this account?,Funds,Funds Fees
How is my PIN sent?,Account,Account Info
How can I exchange AUD for GBP?,Funds,Funds Exchange
Help me verify the card used on a top-up.,Funds,Top Up Info
Why am i being double charged for something?,Funds,Funds Pending Issues
Why hasn't arrived yet a transaction I did to my friend?,Funds,Funds Pending Issues
I'm really upset because I made a typo during a transfer and now I've sent money to the wrong account. I can't fix this with the app. Please help me immediately!,Funds,Funds Transfer
There is a transfer not showing on my account.,Funds,Funds Transfer
Can I change my pin at a cash machine?,Account,Reset PIN
"I want to add money to my card, what payments do you accept?",Funds,Top Up Info
I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend. It didn't notify me beforehand either or I wouldn't have ever done it.,Funds,Funds Fees
Why am I seeing a fee for transferring money?,Funds,Funds Fees
How much is ok for me to top up with?,Funds,Top Up Info
Is there a cash withdrawal fee? Because I just got charged?,Funds,Withdraw Issues
I have some transactions on my account I did not make. Can you cancel my card and prevent further use.,Card,Card Block
Why does my account show as pending a cash withdrawal from the ATM that I have already made?,Funds,Funds Pending Issues
can i get a physical card online,Card,Card Order
How do i change my identity?,Account,Account Info Change
Will my pin number be sent with my card?,Other,Unsupported Talk
"I was charged a fee when I transferred my funds, why?",Funds,Funds Transfer Issues
after 9:45 night,Other,Unsupported Talk
Why can't I withdraw cash from this ATM?,Other,ATM Issues
I have a fee for cash withdrawal,Funds,Funds Fees
Do top-ups have limits?,Funds,Top Up Info
Why did the top-up fail?,Funds,Top Up Issues
I didn't know there was a charge for tranferring. What is the charge?,Funds,Funds Transfer Info
Lost password,Other,Unsupported Talk
What flat currencies do you use for holding and exchanges.,Funds,Funds Exchange
I'm trying to use my Apple Watch to top up my google pay. Do I need a special app?,Funds,Top Up Info
How can I revert a transaction from this morning?,Funds,Funds Transfer Cancel
how many things can you answer to?,Other,Small Talk
send 100 dollars between bank of the west and bank of america acccounts,Funds,Funds Transfer
How do you do exchanges?,Funds,Funds Exchange Info
How far is the closest ATM from me?,Other,Find ATM
I see a direct debit that isn't mine? How can I get my money back?,Funds,Funds Wrong Debit
My Virtual card was rejected for a car rental. Why?,Card,Card Issues
My card is missing! Help!,Card,Card Block
Can someone assist me with activating my card?,Card,Card Activation
"I need to make a purchase online, where is my virtual card?",Card,Card Info
"lost card found, want to put it back in app",Card,Card Activation
"My card has been pending for a while, what should I do?",Funds,Funds Pending Issues
can i see my transactions on the 7th,Funds,Funds Transaction History
change the pin on my bank of america account to be 1234,Account,Reset PIN
Is there a problem with the payment that I see is still pending?,Funds,Funds Pending Issues
My card payment still pending,Account,Account Suspend
Why has my money disappeared? I topped up earlier and seen it was there and had went through. What seems to be the problem?,Funds,Top Up Issues
I must make a transfer from China and it is urgent. How long before the transfer is complete?,Funds,Funds Transfer
Someone used my card without my permission.,Funds,Funds Wrong Debit
How old does my daughter need to be to have her own account?,Other,Unsupported Talk
Why are you asking so many questions about me?,Other,Unsupported Talk
"Will you accept my credit card, it my only one.",Card,Card Info
yes give me the refund,Funds,Funds Transfer Cancel
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,Card,Card Block
Can you check if my account is still suspended ?,Account,Account Info
There's a payment showing in the app today even though I have not used my card at all. I want a refund.,Funds,Funds Wrong Debit
Can I use my account although my identity verification has yet to pass?,Account,Identity Verification
"I want to add money to my international card, so are there any fees charged to do this?",Funds,Top Up Info
It didn't give me my cash,Other,Unsupported Talk
Why does my transfer still say it is pending?,Funds,Funds Pending Issues
i would like my account frozen,Account,Account Suspend
I don't need to transfer anymore and I want to cancel it.,Card,Reset PIN
There were a couple of payments that I have noticed on my account with my card that I didn't make. Is it possible that somebody else has my card information?,Card,Card Issues
I would like to reactivate my card that I previously reported lost. I located the card this morning.,Card,Card Activation
What are the steps I need to take to cancel a transaction?,Funds,Funds Transfer Cancel
please transfer my funds,Funds,Funds Transfer
There is unusual activity on my account and I believe someone took my card.,Other,Scam
The app says I made a cash withdrawal that I didn't make,Funds,Funds Wrong Debit
I'm panicking! I lost my card! Help!,Card,Card Block
i am very confused about the block that seems to have been placed on my account why is it there,Account,Account Issues
I think a card payment I made was cancelled.,Funds,Funds Transfer Issues
"extra fees on a cash withdrawal, not cool.",Funds,Funds Fees
Are there cash machines where I can change my PIN?,Account,Account Info Change
What does it mean when a payment is pending?,Funds,Funds Pending Issues
Do you limit my top-ups?,Funds,Top Up Info
Is my new card activated?,Card,Card Activation
I can't say,Other,Small Talk
"Where can I withdraw money from?""",Other,Find ATM
I never said anything about any loan! Just let me talk to a person already,Other,Bot to Human
pull up my recent transactions on my mastercard,Funds,Funds Transaction History
I can't find my phone and I'm worried someone is going to use it,Account,Account Info Change
How long after I receive my statement can I dispute payments on it?,Funds,Funds Transfer Info
Do I have to verify the top-up?,Funds,Top Up Info
How do I order my card?,Card,Card Order
why does my credit union account have a hold on it,Account,Account Info
I think that the exchange rate for the withdrawal of my cash is not right.,Funds,Funds Exchange Info
Is there a transaction limit for a disposable card?,Card,Card Info
I used my card to top up but it's saying it is still pending. What does this mean?,Funds,Top Up Info
My app says I withdraw money from my account from an ATM.,Funds,Funds Wrong Debit
Can you tell me why I was charged to withdraw cash?,Funds,Withdraw Issues
What are the maximum amount you can do for auto top-up?,Funds,Automatic Top Up
My transfer has not arrived.,Funds,Funds Transfer Issues
Does Apple Watch support the topping-off of my account?,Funds,Top Up Issues
can you help me pay a bill,Funds,Funds Transfer
I have a payment that is still pending,Funds,Funds Pending Issues
How can I dispute a direct debit transaction?,Funds,Funds Wrong Debit
Am I able to top up with Apple Pay?,Funds,Top Up Info
"I'm waiting for the ID verification to go through still, so is it too soon to use my account?",Account,Identity Verification
Can I exchange my money for EUR?,Funds,Funds Exchange
I need urgent help. I realize I sent my payment to the wrong account number. I made a typo. Please cancel the transfer immediately. I cannot do anything from the app.,Funds,Funds Transfer Cancel
"i need to report fraudulent activity on my visa card , please",Other,Scam
Why did I only receive this much currency?,Funds,Funds Exchange Issues
I have a new email.,Account,Account Info Change
I have my card here with me and someone has just made a withdrawal for 500. Please help!,Funds,Withdraw Issues
I don't have the device I used to log onto the platform so I can't access it.,Account,Account Issues
Are cards delivered to my location?,Card,Card Delivery
"I transferred a payment a couple days ago and it shows done, but it has not been received. Could you please help me?",Funds,Funds Transaction History
i need help investigating a suspicious transaction,Other,Scam
when will my transfer clear,Funds,Funds Transfer
My bag got stolen with all my cards. Can you please cancel my card and send a new one?,Card,Card Block
You sent me a card and now I want to link it.,Funds,Funds Fees
I need to know where I can withdraw money.,Other,Find ATM
"If I exchange currencies frequently, is there a discount?",Funds,Funds Exchange Info
how much do i have in my checking,Funds,Funds Balance
I did a transaction this morning and now I want to cancel it.,Funds,Funds Transfer Cancel
"No, the date of birth is not correct, it seems that I'll have to repeat that.",Account,Account Info Change
My top-up appears to be pending.,Funds,Top Up Issues
I had to pay a fee when buying items with my card.,Funds,Funds Fees
"Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it?",Funds,Funds Pending Issues
i seem to have lost the pin for my retirement account,Account,Reset PIN
"my payment was rejected, do you know why?",Funds,Funds Transfer Issues
How can I request cash back? The ATM just gave me the wrong amount that I've been charged though...,Other,ATM Issues
I think someone has hacked my card!,Other,Scam
Thank you for messaging me back.,Other,Small Talk
When I made a cash transfer abroad the wrong exchange rate was applied,Funds,Funds Exchange Issues
Where can I find a Mastercard ATM?,Other,Find ATM
Do I have a card PIN?,Card,Card Info
i'm afraid i 've forgotten the pin for my 401k account,Account,Reset PIN
"My cash withdrawal says pending, why?",Funds,Withdraw Issues
Which cards are accepted for topping up?,Funds,Top Up Info
I don't understand why my payment was declined. I thought everything was ok.,Funds,Funds Transfer Issues
Can I reset my PIN if it is blocked?,Account,Reset PIN
How to exchange my currency,Funds,Funds Exchange
"Do you not accept crypto transfers from certain places? Because when I tried to do a top up the money just disappeared. Im not sure what to do or what I'm doing wrong, please help.",Funds,Top Up Issues
my atm transaction was wrong,Other,ATM Issues
I made a payment and it appears it is showing twice,Other,App Info
Why is there a fee for cash withdrawal?,Funds,Funds Fees Issues
"There has been an unusual withdrawal from my account, can you help?",Funds,Withdraw Issues
"Can I add other people to my account, so they can top up?",Funds,Top Up Info
I want to choose a new PIN.,Card,Reset PIN
how do I get top up to work for my card,Funds,Top Up Info
What does a transfer cost?,Funds,Funds Fees
When can I expect my new card to get here?,Card,Card Order
I don't know what this Direct Debit payment on my account is for.,Funds,Funds Wrong Debit
I went to the Notting Hill ATM to use my card the first time for a cash withdrawal but it didn't work. Does this mean that my card isn't working yet?,Card,Card Issues
When will the transaction post to my account?,Funds,Funds Fees Issues
Is the exchange rate the same on weekends as the weekdays?,Funds,Funds Exchange Info
do i have to talk to someone to close an account or can i in the app,Other,App Info
how much total cash do i have in the bank,Funds,Funds Balance
When I topped up the app has seemed to reverted it.,Funds,Top Up Issues
"The ATM at Metro bank on High St. Kensington didn't return my card, and the bank is now closed. How do I get back a card swallowed by an ATM?",Card,ATM Card Issues
I have a friend who needs money as soon as possibly. If I were to transfer it how long will it take to get to her?,Other,Small Talk
"I was charged a fee for the transfer, but can you tell me why?",Funds,Funds Transfer
I am having problems with my contactless.,Other,Unsupported Talk
yes it says that its pending,Funds,Funds Pending Issues
How can I find out why my transfer didn't go through?,Funds,Funds Pending Issues
don't no,Card,Card Delivery
Am I speaking with a bot or person?,Other,Bot to Human
Thanks and you too!! Take care and stay safe too!! Good night.,Other,Small Talk
"phone is gone, what should i do",Other,Unsupported Talk
"That's not it, can I please talk to an actual person?",Other,Bot to Human
how to get card pin?,Card,Card Info
There has been a payment in the App that has not be done by me.,Funds,Funds Wrong Debit
Can I add money to my card automatically during a trip?,Funds,Automatic Top Up
What are age requirements for opening an account?,Account,Account Info
"Someone stole my account, there's a withdrawal but it wasn't me, can we put a stop to it please?",Other,Scam
How much is it to use my US debit or credit card to top up?,Funds,Top Up Info
"Please help me, its urgent. Someone has withdrawn money from my account as few hours before my wallet has been. Now i want to stop withdrawal of more money.",Account,Account Suspend
Can you call me on my number when you open?,Other,Unsupported Talk
I withdrew cash and was charged. Why?,Funds,Funds Transfer Issues
How long does a payment show as pending before i should worry about it?,Funds,Funds Transfer Info
Hello is my account suspended,Account,Account Info
please transfer 100 dollars between my amazon payments and savings accounts,Funds,Funds Transfer
Why do I need to verify my account?,Account,Identity Verification
Which flat currencies do you support for holding and exchange?,Funds,Funds Exchange Info
why don't you accept american express for adding money to my account,Card,Reset PIN
Hello my account is suspended and I was told to contact you guys if it was suspended before July 15th because it was set up for payment on that day,Account,Account Restore
"I received my card, how do I get it to work in the app?",Other,App Info
I have foreign currency i would like to change how much will it cost me?,Funds,Funds Exchange Info
Yes we never received it,Other,Small Talk
"Money was taken out without my consent,",Funds,Funds Wrong Debit
How come I got blocked for entering wrong pins?,Account,Account Restore
What factors effect the exchange rate?,Other,Scam
"If I want a friend to top off my account, can they?",Funds,Top Up Info
I have a fee showing from last time I used my card.,Funds,Funds Fees
Is there anywhere In the Eu this card can not be delivered in,Card,Card Delivery
Why was I charged twice?,Funds,Funds Transfer Issues
Whats the maximum disposable virtual cards?,Card,Card Info
What do I do if my payment was reverted?,Funds,Funds Transfer Cancel
i noticed that the funds were returned to my bank account. What happened?,Other,Unsupported Talk
Can I get an actual card,Card,Card Order
My top-up has not posted.,Funds,Top Up Info
I don't see a code anywhere on my top-up card? Where can I find it? I need to verify!,Funds,Top Up Issues
This debit is not my transcation. How do I get my money out back?,Card,Funds Transfer Cancel
Do it,Other,Small Talk
Is there a problem that makes my payments show pending?,Funds,Funds Pending Issues
"I heard that you support more than one type of fiat currency, would you tell me which ones please?",Funds,Funds Exchange Info
My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze it immediately.,Other,Scam
"My ATM transaction shorted me on cash, and I think the exchange rate was wrong. Did I receive the correct rate?",Funds,Funds Exchange Issues
Is the cash withdrawal going to show?,Funds,Withdraw Issues
I purchased something overseas and the incorrect exchange rate was applied.,Funds,Funds Exchange Issues
hello! good morning!! can i speak with a real person please?,Other,Bot to Human
"I'm having money transferred from Europe, how long will this take?",Funds,Funds Transfer
I was wondering if international transfers take longer than normal because I made a transfer from France a couple of days ago and nothing has happened yet?,Funds,Funds Transfer
My account shows I made a debit payment to someone that I can't recall and would like to find out who the payment was made to.,Funds,Funds Transaction History
What are the top up charges for all US cards?,Funds,Top Up Info
The app shows a withdrawal that I did not make or authorize.,Funds,Funds Wrong Debit
"I completed a transfer within the UK two days ago, but it is still not showing received. I have verified the account number is correct already. Is there anything else I need to do or is there a problem?",Funds,Funds Pending Issues
"Disaster, I've totally forgotten my passcode, can you help me?",Account,Reset Account Password
How can I the person see my money transaction?,Funds,Funds Transaction History
I'd like to know what you guys look at to decide an exchange rate,Funds,Funds Exchange Info
"Um, my top up didn't work",Funds,Top Up Info
Good after noon,Other,Small Talk
You were extremely helpful,Other,Small Talk
How many disposable cards can you own?,Other,Unsupported Talk
Can I exchange currency to Europe?,Funds,Funds Exchange Info
I swear that there are 2 payments on the app that I didn't make. Could my card me stolen? Please advise what I should do.,Other,Scam
I paid with card and was charged a fee that shouldn't be there!,Funds,Funds Fees Issues
What is taking so long on my transfer from the US?,Funds,Funds Pending Issues
I need to exchange foreign currency will i be charged?,Funds,Funds Fees
Which atms allow me to change my pin?,Card,Reset PIN
i dont want to talk about loans,Other,Small Talk
open yesterday 's last payment,Funds,Funds Transaction History
Why was I declined when I tried to get my money?,Funds,Funds Transfer Issues
I moved and would like to change my address.,Account,Account Info Change
How do you determine exchange rates?,Funds,Funds Exchange Info
Please explain to me the process of getting a virtual card.,Card,Card Order
I just had a wedding and I want to take my spouses name.,Other,Unsupported Talk
My card did not go through in a shop,Card,Card Issues
I looked at my statement and found a payment I and found a mistake.,Funds,Funds Transfer Issues
Where is the tracking number for the card?,Card,Card Delivery
I want to change my pin number from an ATM. Is this possible?,Account,Reset PIN
I'm trying to activate the auto-top up function. Where is it?,Funds,Automatic Top Up
I am looking for my top-up verification code and cannot find it.,Account,Identity Verification
How long does it take to make an urgent transfer from China?,Funds,Funds Transfer Info
I want to cancel a transaction.,Funds,Funds Transfer Cancel
How many purchases can I make with one disposable card?,Card,Card Info
I can't get google pay to work right.,Funds,Funds Transfer Issues
Hi. Am I speaking to a robot or a person???,Other,Bot to Human
how do i get into my account and edit my details,Account,Account Info Change
why verify the top up? it doesnt make sense,Account,Identity Verification
that is not my name,Account,Account Info Change
I need help right now. I realize I sent my payment to the wrong account number after making a typo. Please cancel the transfer now since I can't do it from the app.,Funds,Funds Transfer Cancel
i didn't have this direct debit before,Account,Account Info Change
I'm looking forward to the appointment tomorrow,Other,Unsupported Talk
Hello I want my account locked,Account,Account Suspend
"I honestly have no idea, I'm sorry",Other,Small Talk
Hi I am trying to transfer money to another country but it is showing pending and it has been a long time.  I have checked numbers and they are correct.  Could you please help?,Funds,Funds Pending Issues
I don't have my card after 1 week. What are my next steps?,Card,Card Delivery
how much will I be charged for making a transfer?,Funds,Funds Transfer Issues
My PIN has been blocked.,Account,Account Issues
"In the US, how long is the wait for a transfer?",Funds,Funds Transfer
why was my payment reverted on the app,Funds,Funds Transfer Issues
My identity hasn't been verified. Can I use my account?,Account,Identity Verification
I was just shopping online for some tickets and the payment was declined by you.  Why has this happened?  I am certain I have the right amount of funds in my account.,Account,Reset PIN
looking back on my transactions from a couple of months ago I have noticed a charge that is fairly large that I'm certain was not completed by me. I know it has been a while but can I please dispute this charge?,Funds,Funds Wrong Debit
What do I have to do to get my PIN unblocked?,Other,Unsupported Talk
Is there a reason my transfer failed?,Funds,Funds Transfer Issues
"I got a card, how do I get it in the app?",Other,App Info
How many different currencies can I hold money in?,Funds,Funds Exchange Info
Is there a way to reset the passcode?,Account,Reset Account Password
Does a US transfer take long,Funds,Funds Transfer Info
Why do I see a random withdrawal in my app?,Funds,Withdraw Issues
Hi I'd like more info,Other,Unsupported Talk
Is it okay to hold money in multiple currencies?,Funds,Funds Exchange Info
When will my transfer finish pending?,Funds,Funds Pending Issues
how do you get exchange rates,Funds,Funds Exchange Info
I only got $20 of the $100 that I attempted to withdraw.,Funds,Withdraw Issues
I am interested in changing my personal details.,Account,Account Info Change
What is your exchange rate between UK pounds and dollarss for my last transaction,Funds,Funds Exchange Info
I attempted to get cash in the ATM but I was denied,Other,ATM Issues
I didn't get all the cash I asked for,Funds,Funds Transfer Issues
Why am I being charged more on exchange with things I bought abroad?,Funds,Funds Exchange Info
I haven't been sent my new pin!,Card,Reset PIN
can i freeze my bank account,Account,Account Suspend
"I normally don't use ATMs, but I was in a rush today and had to withdraw some cash. The ATM gave me the wrong amount of money and now my app is not showing the same amount as it should. What do I do?",Other,ATM Issues
Is there any cost to change foreign money to local?,Funds,Funds Exchange Info
Will you be adding more currencies in the future?,Other,Unsupported Talk
How do I link an existing card?,Card,Card Activation
Can money be exchanged from one currency to another?,Funds,Funds Exchange
What is needed to activate my card?,Card,Card Activation
How long do I need to wait til my top up isn't pending?,Funds,Top Up Issues
My phone was left behind. Can I still use my card?,Card,Card Info
why have i not got my new card?,Card,Card Delivery
Can I change my PIN in Austria?,Account,Reset PIN
What is the charge for sending out more cards?,Funds,Funds Transfer Issues
What is the process for getting an actual physical card?,Card,Card Order
"I was wondering why my payment hasn't gone through yet, its been a while.",Funds,Funds Pending Issues
What does it mean when a cash withdrawal is pending?,Funds,Funds Transfer Info
How long will it take for my cash withdrawal to no longer show as pending?,Funds,Withdraw Issues
I forgot my PIN and now it is blocked.,Account,Reset PIN
Under what condition will my payment revert?,Funds,Funds Transfer Cancel
"I've use this account all the time, including over this past month, to pay for things from my new place abroad. I'm a really good customer, so why do I suddenly have new fees? I should be rewarded instead of charged more fees.",Funds,Funds Fees Issues
I bought something online and it says there was a fee to transfer money. Isn't that free?,Funds,Funds Fees
show me my transactions on clothes at macys,Funds,Funds Transaction History
this costco charge looks fraudulent,Other,Scam
I bought something this morning and the payment is still pending,Funds,Funds Pending Issues
I transferred money and it hasn't come yet,Funds,Funds Pending Issues
How come I can't find my payment?,Funds,Funds Pending Issues
Do you know which businesses will accept my card?,Other,Unsupported Talk
I tried to pull cash from an ATM but it wouldn't let me.,Funds,Withdraw Issues
"I know there's money in my account, why did my account decline me?",Account,Account Issues
Tell me what I need to do to activate my card.,Card,Card Activation
Can my account be topped-up by friends of mine.,Funds,Top Up Info
I added money through a bank transfer and it is not showing in my balance.,Funds,Funds Pending Issues
Is there a discount for multiple currency exchanges?,Funds,Funds Exchange Info
What is the reason for the fee charge on my transfer?,Funds,Funds Transfer
Could my daughter open an account?,Account,Account Creation
I think the exchange rate for my for my cash withdrawal is wrong,Funds,Funds Exchange Info
The bank charged me fees for withdrawing cash!,Funds,Funds Fees Issues
My card won't work right now.,Card,Card Issues
